_id,address,gender,salary,valuta,age,position,about_me,category,specialization,resume_link
5f9a568692b8e1cad7253a5b,Москва,Мужчина,180000,руб.,46,Программист 1С,"Анализ недокументированного кода, поиск ошибок.
Имею опыт работы на других языках програмирования C++(Microsoft,Borland),SQL,Clarion,Assembler и др.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Администратор баз данных""]",https://hh.ru/resume/df41cb22000097025b0039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568792b8e1cad7253a5c,Москва,Мужчина,,,51,Программист 1С,"- программирование на платформах 1С  7.7 и 8.X
- web-сервис
- работа с API сторонних разработчиков
- администрирование MS SQL Server
- разработка БД на Т-SQL
- администрирование FreeBSD
- программирование Delphi","Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/692f09a30000855da20039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568892b8e1cad7253a5d,Москва,Мужчина,90000,руб.,33,Программист 1с,"консультирование по программным продуктам 1С 7.7:
 1) Бухгалтерия - хорошо.
 2) Торговля и Склад - хорошо.
 3) Зарплата и Кадры - хорошо.
консультирование по программным продуктам 1С 8.1/8.2:
 1) Бухгалтерия 1.6/2.0 - хорошо.
 2) Зарплата и Управление Персоналом - хорошо.
 3) Управление торговлей - хорошо.
 4) Комплексная Автоматизация - хорошо.
 5) Документооборот - отлично.
 6) МСФО - удовлетворительно.
доработка печатных форм - хорошо.
составление отчетов -хорошо.
обновление типовых/нетиповых конфигураций - отлично.
проверка ведения учета - хорошо.
помощь в подготовке и отправке отчетности - хорошо.
MS Office - отлично

Наличие сертификатов:
а) 1С: Профессионал:
1) Бухгалтерия предприятия 8
2) Зарплата и Управление персоналом 8
3) Управление торговлей 8
4) Управление небольшой фирмой 8
5) Розница 8
6) Платформа 8
б) 1С: Специалист-консультант:
1) Зарплата и Управление Персоналом 8","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системы автоматизированного проектирования"",""Администратор баз данных""]",https://hh.ru/resume/338043ab00012477b50039ed1f52546a437475?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568892b8e1cad7253a5e,Москва,Мужчина,200000,руб.,36,Программист 1С,"* Опыт разработки и поддержки нетиповых конфигураций на базе 1С 8.0, 8.1, 8.2, 8.3 (управляемые формы);
* Знание язык программирования 1С, умение разбираться в чужом коде и исправлять в нем ошибки;
* Знание 1С УПП, БП, ЗУП на уровне консультанта.
Знание управленческого, бухгалтерского и налогового учета.
Знание конфигурации 1С ""Конвертация данных"", опыт написания планов обмена с 0.
* Знание языка запросов в 1С,  умение строить сложные запросы;
* Навыки и опыт в составлении отчетов на СКД в 1С;
* Создание обработок и отчетов, печатных форм, документов в 1С;
Общий стаж работы с программой около 10 лет.

* Опыт работы в системе SAP;
* Хорошее знание системы Банк-клиент;
* Хорошее знание пакета Microsoft Office (Outlook, Word, Excel, Visio, PowerPoint);
* Опыт администрирования ЛВС и ПК: Знание линейки windows XP/2000/2003 на уровне администратора. Стек протоколов TCP/IP, DNS, DHCP, Active directory, VPN, Proxy Server. (имеется опыт работы специалистом IT более 5 лет).
* Хорошее знание компьютерного железа. Настройка и установка различного софта и IT-оборудования. 
* Хорошее знание структуры ЛВС (протяжка и настройка); 
* Опыт работы с Такском и Консультант;
* Графические редакторы (Photoshop, CorelDraw, Adobe Illustrator). Опыт верстки макетов для полиграфии.
• Имеются начальные навыки web-программирования (HTML, CSS);
* Имеется опыт открытия нового юр. лица, открытия р/с в банке.
* Опыт составления бизнес-плана;
* Отличное знание устройства и функционирования офисной техники (факс, ксерокс, телефония).
Имеются водительское удостоверение категории «В». Имеется личный автомобиль (готов использовать по производственной необходимости).

Личные качества:
Аналитический склад ума, готовность работать с большими объемами информации, высокая работоспособность и внимательность, аккуратность, желание учиться и повышать квалификацию, стремление к росту, отсутствие вредных привычек, пунктуальность, доброжелательность, ответственность и добросовестность при выполнении работы.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системы управления предприятием (ERP)"",""Поддержка, Helpdesk""]",https://hh.ru/resume/de39e1410000a5ca3c0039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568892b8e1cad7253a5f,Москва,Мужчина,160000,руб.,51,программист 1С,"Уверенный пользователь ПК, работа с программами Windows; Microsoft Office (Word, Excel, Access); 1C 8.1, 8.2, 8.3 Управление торговлей 10, 11, Комплексная автоматизация, бухгалтерия, Альфа-Авто, Конвертация данных (настройка, сопровождение, обучение сотрудников, СКД, администрирование и настройка кластера серверов 1С); работа с базами данных (Microsoft Access, MS SQL, MySql, SqLite, DBF, PostGreSQL…) написание прямых SQL запросов к базам данных, написание функций и процедур БД; работа с сетевыми приложениями; работа в Microsoft Visual Studio 2010 Express (C#, Microsoft Visual Web Developer 2010). Знание основ программирование на PHP, JavaScript. Изучаю методы создания мобильных приложений под различные платформы. Создание веб приложение PWA на HTML5 CSS3 и JS: https://fan-69.github.io/calculatordate/index.html. Создание веб сервера на OneScript с интеграцией с базой SQLITE. Есть идея создать мобильное приложение по технологи PWA для автоматизации склада с онлайн интеграцией с 1С.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системы управления предприятием (ERP)"",""Администратор баз данных""]",https://hh.ru/resume/7db5671f0000ac703a0039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568992b8e1cad7253a60,Москва,Мужчина,,,,Программист 1C,"Берусь за любые типы задач, стараюсь найти подход ко всем сложностям. Есть тяга к любимой работе, проработал два года в этой сфере. 1с для меня как стратегия, в которую хочется погружаться вновь.
Так же имеется опыт работы в тех поддержке автодора (управление холдингом) 2 и 3 линия.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Консалтинг, Аутсорсинг"",""Инженер""]",https://hh.ru/resume/fcee59ac00070f66d90039ed1f31566253565a?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568992b8e1cad7253a61,Москва,Мужчина,,,53,Программист 1С,"Имею опыт программирования на Delphi, Builder, C++, VB, FoxPro, Транзакт SQL, PL/SQL. Разрабатывал компоненты для связи с внешним оборудованием, с внешней базой данных. Опыт работы с базами Oracle, Interbase, SQL Server.

Имею сертификаты профессионала по платформе, бухгалтерии

Работал  с АСУ ТП.  Контроллеры, усо, спаки  и другое 
оборудование. Связь 1с с различным оборудованием.
","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Сетевые технологии"",""Интернет""]",https://hh.ru/resume/08d8d2d3000103f7480039ed1f346252436952?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568a92b8e1cad7253a62,Москва,Мужчина,120000,руб.,40,Специалист 1С,"1С, PHP, MySQL, Joomla, Pascal, HTML, SQL, Access, AutoCAD, BPWin, Firebird, MSSQL, ERWin, GPSS, Win98-XP, Apache, PWS, АЦК-финансы, Бюджет-КС.
ПО 1С (бюджет): 1С:Бюджет муниципального образования 7.7, 1С:ХроноГраф Школа 2.5 ПРОФ, 1С:ХроноГраф Тарификация для Бухгалтера ПРОФ, 1С:Бухгалтерия для бюджетных учреждений 7.7, 1С:Бухгалтерия для бюджетных учреждений 8, 1С:Бухгалтерия государственного учреждения 8, КАМИН:Расчет заработной платы. Версия 2.0 ПРОФ, КАМИН:Расчет заработной платы для бюджетных учреждений . Версия 3.5, БИТ УФГУ.
ПО 1С: БИТ Финанс, УСН 7.7.
Организации (клиенты): Комитет по финансам г.Калининграда, ФО Калининградской области(все), Министерство финансов Калининградской области, Администрация Ленинградского района КО, МАОУ Лицей №49, ГБОУ Гормост, ОАТИ, Рособоронпоставка, Технологический колледж 21 и др.

По клиентам ездить не готов

Хобби: массаж делаю, фитнесом занимаюсь","Информационные технологии, интернет, телеком","[""Поддержка, Helpdesk"",""Тестирование""]",https://hh.ru/resume/bd73e02e0006ffcf390039ed1f67794b5a4b6b?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568b92b8e1cad7253a63,Москва,Мужчина,,,41,Программист 1С,"Активен, креативен, коммуникабелен. Руководствуюсь по жизни диалектическими принципами, сейчас это модно называть ТРИЗом (ТРИЗом тоже занимался, аж 2 года в школе 1993-1994 годах) . Интересуюсь наукой, и твердо стою на материалистических позициях, т.е. вообще совсем не верю в чудеса. Решаю реальные проблемы.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Поддержка, Helpdesk"",""Управление проектами""]",https://hh.ru/resume/2ef5829c0007bfed660039ed1f7a4168495152?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568b92b8e1cad7253a64,Москва,Мужчина,240000,руб.,49,Программист 1С / Разработчик 1С,"- Специалист с опытом разработки и внедрения проектов в различных отраслях, говорящий с финансистами и бухгалтерами на одном языке, благодаря специальному образованию.
- Опыт самостоятельного ведения большинства участков учета, а также совместной разработки методологии как бухгалтерского, так и управленческого учета в рамках систем платформы 1С 7.7, 8.0-8.3.
- Написание и поддержка конфигураций ""с нуля"", поддержка и доработка типовых конфигураций
- Хорошeе знание механизмов платформы 1С: Предприятие 8.3
- Большой опыт программирования на встроенном языке 1С.
- Разработка схемы работы и реализация обмена между различными базами данных.
- Написание конфигураций с нуля.
- Хорошее знание БСП и СКД
","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системная интеграция"",""Развитие бизнеса""]",https://hh.ru/resume/57e35b1200082e792c0039ed1f7a6a324a5437?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568b92b8e1cad7253a65,Москва,Мужчина,170000,руб.,50,Программист 1C,,"Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системная интеграция"",""Инженер""]",https://hh.ru/resume/c386b575000049ebd80039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
